,SP,CD,IR,pct7,within_person_var
count,411.0,411.0,411.0,411.0,411.0
mean,6.60243309002433,6.6000000000000005,6.49051094890511,54.948905109489054,0.6447496478422333
std,0.5870919795597244,0.6163622628165919,0.7140284080922527,22.683932586277432,0.8307229795240643
min,3.4,2.0,2.0,0.0,0.0
25%,6.2,6.4,6.2,44.0,0.09473684210526319
50%,7.0,6.8,6.8,64.0,0.23947368421052626
75%,7.0,7.0,7.0,72.0,1.0355263157894736
max,7.0,7.0,7.0,80.0,4.199999999999999
